Period,Revenue (₹),COGS (₹),Gross_Profit (₹),Operating_Expenses (₹),EBITDA (₹),Net_Profit (₹),Cash_Flow (₹),Burn_Rate (₹),Profit_Margin (%),YoY_Growth (%),Forecast_Accuracy (%)
Jan-2024,6020342.89,3505140.68,2515202.209999999,1372592.04,1142610.169999999,854279.64,797052.23,45753.07,14.2%,3.8%,92.0%
Feb-2024,6766602.08,3779063.51,2987538.57,1836606.29,1150932.28,877193.05,621785.31,61220.21,13.0%,17.9%,98.9%
Mar-2024,8641568.47,4094606.92,4546961.550000001,1879690.88,2667270.670000001,2282816.38,2103108.68,62656.36,26.4%,-3.9%,87.5%
Apr-2024,10257884.84,6215011.3,4042873.54,2899955.69,1142917.85,742031.73,679211.74,96665.19,7.2%,4.4%,90.4%
May-2024,12614290.7,7111571.85,5502718.85,2820341.67,2682377.18,2055063.5,1992787.25,94011.39,16.3%,9.1%,92.9%
Jun-2024,12384393.62,5711031.23,6673362.389999999,2346949.69,4326412.699999999,3362979.15,2989348.31,78231.66,27.2%,15.3%,95.7%
Jul-2024,12806088.61,5920060.04,6886028.569999999,3055142.31,3830886.259999999,2445865.42,2160200.68,101838.08,19.1%,19.3%,93.2%
Aug-2024,15754039.45,9059054.76,6694984.689999999,3262441.12,3432543.569999999,2500417.34,2990431.03,108748.04,15.9%,7.4%,85.8%
Sep-2024,16032025.55,7966704.96,8065320.590000001,3155341.97,4909978.620000001,3071105.81,3206221.05,105178.07,19.2%,21.1%,86.6%
Oct-2024,15827936.75,8826976.99,7000959.76,2462932.11,4538027.65,3618307.11,3297133.58,82097.74,22.9%,10.4%,90.9%
Nov-2024,14661799.7,7975139.04,6686660.659999999,2248173.91,4438486.749999999,3084545.45,3038822.52,74939.13,21.0%,4.7%,86.4%
Dec-2024,16380900.35,9634799.91,6746100.439999999,2963079.59,3783020.85,2833556.08,3133143.97,98769.32,17.3%,15.0%,87.3%
Jan-2025,17039486.69,10971479.27,6068007.420000002,3071602.52,2996404.900000002,2369057.37,2812198.16,102386.75,13.9%,-2.7%,96.9%
Feb-2025,17130557.34,8617201.73,8513355.61,3333572.89,5179782.719999999,3999083.4,4408195.67,111119.1,23.3%,13.7%,98.4%
Mar-2025,20742096.68,11732531.56,9009565.12,4952791.59,4056773.529999999,2766758.0,2720315.61,165093.05,13.3%,10.9%,91.0%
Apr-2025,21980506.19,10228239.9,11752266.29,6013005.79,5739260.500000001,4312433.62,3665372.41,200433.53,19.6%,14.9%,89.4%
May-2025,23893694.16,11952891.19,11940802.97,5431165.35,6509637.620000001,5217266.73,5080476.49,181038.85,21.8%,21.4%,93.8%
Jun-2025,26966887.7,13141174.39,13825713.31,6064328.4,7761384.909999998,6195462.36,6889069.15,202144.28,23.0%,23.1%,88.8%
Jul-2025,31774381.41,19439143.81,12335237.6,8830615.25,3504622.350000001,3056208.54,3567567.14,294353.84,9.6%,16.8%,85.8%
Aug-2025,31770072.65,17235179.81,14534892.84,5911015.57,8623877.27,7105471.67,7693556.32,197033.85,22.4%,20.3%,90.7%
Sep-2025,40314820.1,25488140.32,14826679.78,9880723.91,4945955.870000001,4222808.13,3519572.83,329357.46,10.5%,3.6%,87.2%
Oct-2025,48306701.05,24019346.1,24287354.95,8974057.27,15313297.68,9876903.57,7050648.22,299135.24,20.4%,18.9%,89.3%
Nov-2025,53912017.4,34948930.06,18963087.34,11499588.0,7463499.339999996,6505907.65,5211201.15,383319.6,12.1%,3.2%,85.4%
Dec-2025,66860891.19,33801817.62,33059073.57,15552238.9,17506834.67,13887964.42,10014835.93,518407.96,20.8%,16.7%,96.0%
