Txn_ID,Date,Vendor/Client,Category,State,Invoice_No,Amount (₹),GST_Rate (%),GST_Amt (₹),Total (₹),Payment_Method,Due_Date,Status,Days_Overdue
TXN0001,24-Nov-25,Infosys Ltd,Software Services,Gujarat,INV-42098,115489.32,5,5774.47,121263.79,Cash,14-Dec-25,Overdue,17
TXN0002,05-Aug-25,Tata Consultancy,Software Services,Karnataka,INV-38657,120167.14,5,6008.36,126175.5,Cash,01-Sep-25,Partially Paid,0
TXN0003,29-Nov-25,Sun Pharma,Travel,Rajasthan,INV-38893,227358.48,18,40924.53,268283.01,NEFT,24-Dec-25,Partially Paid,0
TXN0004,05-Aug-25,Reliance Ind,Maintenance,Tamil Nadu,INV-38221,478820.47,18,86187.68,565008.15,NEFT,25-Aug-25,Pending,0
TXN0005,19-Feb-25,Reliance Ind,Raw Material,Kerala,INV-44671,404528.5,28,113267.98,517796.48,Cash,13-Mar-25,Pending,0
TXN0006,10-Feb-25,Bajaj Finance,Maintenance,Kerala,INV-57400,290789.31,5,14539.47,305328.78,NEFT,08-Apr-25,Paid,0
TXN0007,29-May-25,Infosys Ltd,Consulting,Karnataka,INV-59823,142596.93,18,25667.45,168264.38,RTGS,06-Jul-25,Paid,0
TXN0008,18-Apr-25,Maruti Suzuki,Maintenance,Karnataka,INV-89840,319314.25,12,38317.71,357631.96,RTGS,01-Jun-25,Pending,0
TXN0009,19-May-25,Nestle India,Travel,Delhi,INV-99733,165519.95,5,8276,173795.95,RTGS,05-Jun-25,Paid,0
TXN0010,25-Jul-25,Tech Mahindra,Cloud Hosting,Delhi,INV-84341,438801.98,18,78984.36,517786.34,RTGS,19-Sep-25,Pending,0
TXN0011,22-Jul-25,Nestle India,Marketing,Tamil Nadu,INV-44718,74117.01,18,13341.06,87458.07,Cash,02-Sep-25,Overdue,120
TXN0012,24-Jul-25,Reliance Ind,Consulting,Tamil Nadu,INV-76784,249290.34,5,12464.52,261754.86,NEFT,17-Aug-25,Partially Paid,0
