Alert_ID,Date,Account_ID,Txn_Amount (₹),Avg_Txn_Amt (₹),Deviation (%),Location,Txn_Time,Frequency_Per_Day,Anomaly_Type,Risk_Score (0-100),ML_Prediction,Action_Taken,Resolved
ALT0001,21-Feb-2025,ACC6331,362240.72,264769.35,36.8%,Tamil Nadu,17:16,4,Round Amount Pattern,90,Fraudulent,Pending Review,No
ALT0002,25-Jun-2025,ACC6995,184729.76,94576.36,95.3%,Rajasthan,22:48,6,Velocity Spike,81,Fraudulent,Cleared,Yes
ALT0003,19-Aug-2025,ACC3947,571838.31,451544.24,26.6%,Delhi,03:46,5,New Vendor High Value,85,Fraudulent,Escalated to Manager,No
ALT0004,11-Apr-2025,ACC3389,800237.42,535575.7,49.4%,West Bengal,00:11,7,Backdated Entry,47,Legitimate,Pending Review,No
ALT0005,01-Oct-2025,ACC6172,785547.6,353509.85,122.2%,Uttar Pradesh,18:03,7,Unusual Amount,50,Legitimate,Blocked,Yes
ALT0006,21-Apr-2025,ACC5166,477062.88,293360.8,62.6%,West Bengal,23:21,5,Velocity Spike,76,Fraudulent,Pending Review,No
ALT0007,13-Oct-2025,ACC5222,344796.14,174425.63,97.7%,Telangana,21:38,4,Override Attempt,98,Fraudulent,Flagged for Review,No
ALT0008,26-May-2025,ACC6818,325765.2,180872.09,80.1%,West Bengal,02:24,10,Round Amount Pattern,89,Fraudulent,Flagged for Review,No
ALT0009,27-Mar-2025,ACC6527,422394.67,256036.67,65.0%,Rajasthan,02:05,3,Velocity Spike,59,Suspicious,Cleared,Yes
ALT0010,12-Jun-2025,ACC5773,710723.05,428347.44,65.9%,Rajasthan,08:56,8,Velocity Spike,96,Fraudulent,Escalated to Manager,No
ALT0011,31-Jul-2025,ACC3741,184702.31,57544.11,221.0%,Delhi,21:16,12,Unusual Amount,56,Suspicious,Flagged for Review,No
ALT0012,23-Jul-2025,ACC2687,96458.17,74118.15,30.1%,West Bengal,17:03,1,Geo Anomaly,97,Fraudulent,Blocked,Yes
ALT0013,23-Feb-2025,ACC5300,618484.07,211617.81,192.3%,Rajasthan,09:14,4,Round Amount Pattern,86,Fraudulent,Flagged for Review,No
ALT0014,09-Mar-2025,ACC9630,838679.26,263584.85,218.2%,Telangana,10:55,8,Backdated Entry,99,Fraudulent,Cleared,Yes
ALT0015,08-Oct-2025,ACC8288,135979.79,105281.41,29.2%,Uttar Pradesh,05:37,10,Backdated Entry,85,Fraudulent,Pending Review,No
ALT0016,24-Nov-2025,ACC9745,310351.67,146977.63,111.2%,Uttar Pradesh,07:51,2,Backdated Entry,69,Suspicious,Cleared,Yes
ALT0017,31-Jul-2025,ACC5256,156561.82,47794.87,227.6%,Uttar Pradesh,04:22,5,Backdated Entry,98,Fraudulent,Blocked,Yes
ALT0018,19-Dec-2025,ACC9059,947010.55,509996.94,85.7%,Maharashtra,13:51,5,Override Attempt,59,Suspicious,Blocked,Yes
ALT0019,08-Oct-2025,ACC7121,189382.41,140347.71,34.9%,Rajasthan,12:15,3,Geo Anomaly,78,Fraudulent,Flagged for Review,No
ALT0020,15-May-2025,ACC2297,422817.14,177490.56,138.2%,Kerala,22:43,5,Round Amount Pattern,98,Fraudulent,Cleared,Yes
ALT0021,31-Jul-2025,ACC4080,853628.54,333942.55,155.6%,Gujarat,03:40,8,Override Attempt,87,Fraudulent,Cleared,Yes
ALT0022,25-Dec-2025,ACC9060,188601.65,58409.5,222.9%,Maharashtra,17:01,3,Unusual Amount,66,Suspicious,Cleared,Yes
ALT0023,06-Mar-2025,ACC8183,727379.96,302884.83,140.2%,Tamil Nadu,00:31,4,Velocity Spike,83,Fraudulent,Cleared,Yes
ALT0024,13-Sep-2025,ACC7084,464220.78,322964.13,43.7%,Telangana,02:53,13,Off-Hours Transaction,37,Legitimate,Cleared,Yes
ALT0025,20-Jul-2025,ACC2169,543648.76,212458.95,155.9%,Gujarat,12:53,1,Unusual Amount,61,Suspicious,Escalated to Manager,No
ALT0026,15-Aug-2025,ACC5049,737881.39,233727.73,215.7%,West Bengal,23:49,2,Split Transaction,56,Suspicious,Escalated to Manager,No
ALT0027,19-Jul-2025,ACC6113,936279.03,355135.99,163.6%,Maharashtra,23:59,9,Split Transaction,45,Legitimate,Cleared,Yes
ALT0028,04-Sep-2025,ACC5895,199524.91,148398.6,34.5%,Delhi,03:15,11,Geo Anomaly,71,Suspicious,Blocked,Yes
ALT0029,27-Mar-2025,ACC5523,585112.16,291329.77,100.8%,Delhi,00:02,10,Backdated Entry,49,Legitimate,Cleared,Yes
ALT0030,15-Feb-2025,ACC5075,158540.76,54807.66,189.3%,Kerala,10:59,13,Duplicate Invoice,37,Legitimate,Cleared,Yes
ALT0031,27-Nov-2025,ACC3521,701626.81,488145.01,43.7%,Tamil Nadu,15:14,6,Split Transaction,74,Suspicious,Escalated to Manager,No
ALT0032,09-Apr-2025,ACC1349,689560.73,330357.34,108.7%,Tamil Nadu,08:57,1,Backdated Entry,86,Fraudulent,Pending Review,No
ALT0033,31-May-2025,ACC9892,697340.74,275371.43,153.2%,Tamil Nadu,17:22,6,Backdated Entry,65,Suspicious,Pending Review,No
ALT0034,11-Oct-2025,ACC3627,69807.71,26353.3,164.9%,Gujarat,08:34,6,Backdated Entry,30,Legitimate,Pending Review,No
ALT0035,14-Jul-2025,ACC4039,883049.44,538542.98,64.0%,Telangana,19:15,6,Unusual Amount,98,Fraudulent,Escalated to Manager,No
