GSTIN,Business_Name,State,Filing_Period,CGST (₹),SGST (₹),IGST (₹),Total_GST (₹),Due_Date,Filed_Date,Status,Penalty (₹),Compliance_Score
271727155188442,ITC Ltd,Telangana,Sep-2025,11987.84,13150.98,23865.94,49004.75999999999,20-Sep-2025,20-Sep-2025,Filed On Time,0.0,100%
270589578291146,Bajaj Finance,Rajasthan,Jul-2025,41343.63,37819.09,29185.2,108347.92,20-Jul-2025,-,Missed,5417.4,24%
277785289226801,Wipro Ltd,Gujarat,Mar-2025,8936.38,9713.38,7151.37,25801.13,20-Mar-2025,-,Pending,0.0,38%
271438424981829,Wipro Ltd,Tamil Nadu,Nov-2025,31599.48,34140.08,10459.78,76199.34,20-Nov-2025,-,Pending,0.0,22%
270109439690784,ICICI Bank,Delhi,Nov-2025,20898.53,20704.36,20814.1,62416.99,20-Nov-2025,20-Nov-2025,Filed On Time,0.0,99%
276773592555625,Bajaj Finance,Karnataka,Jun-2025,12845.16,11875.41,13763.08,38483.65,20-Jun-2025,20-Jun-2025,Filed On Time,0.0,88%
270469632595327,ICICI Bank,West Bengal,May-2025,25371.14,23290.96,12100.64,60762.74,20-May-2025,25-May-2025,Late Filing,1215.25,67%
273950047974801,Wipro Ltd,Gujarat,Dec-2025,18923.1,18556.95,1834.65,39314.7,20-Dec-2025,20-Dec-2025,Filed On Time,0.0,91%
275841687849912,HDFC Bank,Telangana,Jun-2025,28333.76,27572.18,4755.89,60661.83,20-Jun-2025,-,Pending,0.0,52%
276800025787298,Reliance Ind,Kerala,Jun-2025,8962.6,9842.04,22309.92,41114.56,20-Jun-2025,20-Jun-2025,Filed On Time,0.0,95%
278887947055169,ITC Ltd,Maharashtra,Oct-2025,24254.92,26520.67,23595.67,74371.26,20-Oct-2025,-,Pending,0.0,56%
273097289623091,Tata Consultancy,West Bengal,Jun-2025,21520.23,21145.61,6514.8,49180.64,20-Jun-2025,-,Pending,0.0,59%
277028385786527,Reliance Ind,Uttar Pradesh,Jun-2025,34117.56,36626.25,20582.0,91325.81,20-Jun-2025,-,Missed,4566.29,36%
279733484344375,Reliance Ind,Uttar Pradesh,Dec-2025,14399.42,13310.46,20460.36,48170.24,20-Dec-2025,25-Dec-2025,Late Filing,963.4,72%
275240415747338,Nestle India,Uttar Pradesh,Dec-2025,14309.45,13191.1,22356.28,49856.83,20-Dec-2025,20-Dec-2025,Filed On Time,0.0,92%
270833016571208,HDFC Bank,West Bengal,Aug-2025,32876.4,34559.09,8973.73,76409.21999999999,20-Aug-2025,20-Aug-2025,Filed On Time,0.0,86%
271938026206724,Tata Consultancy,Gujarat,Oct-2025,30536.37,33153.06,10383.74,74073.17,20-Oct-2025,25-Oct-2025,Late Filing,1481.46,80%
278872874315274,Tata Consultancy,Telangana,May-2025,28821.28,30304.32,5677.1,64802.7,20-May-2025,-,Missed,3240.14,45%
276851612275304,HCL Tech,West Bengal,May-2025,47747.71,45856.38,21825.03,115429.12,20-May-2025,20-May-2025,Filed On Time,0.0,93%
275301742684145,HCL Tech,Delhi,Mar-2025,24430.91,24210.93,29670.72,78312.56,20-Mar-2025,20-Mar-2025,Filed On Time,0.0,98%
278783391878519,Tata Consultancy,Uttar Pradesh,Sep-2025,10905.68,10985.64,5353.85,27245.17,20-Sep-2025,-,Pending,0.0,48%
271397187072867,Tata Consultancy,Uttar Pradesh,Aug-2025,33965.62,32662.49,1142.23,67770.34,20-Aug-2025,20-Aug-2025,Filed On Time,0.0,85%
273910651801704,Wipro Ltd,Tamil Nadu,Nov-2025,48938.33,50366.16,12900.68,112205.17,20-Nov-2025,25-Nov-2025,Late Filing,2244.1,74%
276618251286823,ITC Ltd,Maharashtra,May-2025,23687.19,24725.13,13011.78,61424.1,20-May-2025,25-May-2025,Late Filing,1228.48,67%
273752431069033,Infosys Ltd,Kerala,Jan-2025,22875.61,23662.64,26230.27,72768.52,20-Jan-2025,20-Jan-2025,Filed On Time,0.0,86%
276738302843959,ITC Ltd,Telangana,Apr-2025,15786.46,14660.13,19976.27,50422.86,20-Apr-2025,20-Apr-2025,Filed On Time,0.0,98%
274408926870568,Sun Pharma,Rajasthan,Jul-2025,8311.66,8106.3,22755.27,39173.23,20-Jul-2025,25-Jul-2025,Late Filing,783.46,67%
273427086688263,HCL Tech,Telangana,Nov-2025,4874.45,4825.5,11446.79,21146.74,20-Nov-2025,-,Pending,0.0,32%
270469901398373,Tech Mahindra,Maharashtra,Apr-2025,46920.83,51257.04,3960.83,102138.7,20-Apr-2025,25-Apr-2025,Late Filing,2042.77,67%
279363854678544,Bajaj Finance,West Bengal,Aug-2025,5831.8,6393.19,14349.97,26574.96,20-Aug-2025,20-Aug-2025,Filed On Time,0.0,91%
275560932048996,Wipro Ltd,Delhi,Jun-2025,12270.91,12442.19,7749.04,32462.14,20-Jun-2025,-,Pending,0.0,41%
