month,emp_id,department,designation,basic_salary,hra,allowances,gross_salary,pf_employee,pf_employer,esi,tds,net_salary,payment_status
2024-01,EMP001,Marketing,Marketing Executive,70618,28247,14123,112988,8474,8474,0,11298,93216,paid
2024-01,EMP002,Finance,Accountant,103938,41575,20787,166300,12472,12472,0,16630,137198,paid
2024-01,EMP003,Marketing,Marketing Executive,89925,35970,17985,143880,10791,10791,0,14388,118701,paid
2024-01,EMP004,Engineering,Software Engineer,70592,28236,14118,112946,8471,8471,0,11294,93181,paid
2024-01,EMP005,Marketing,Marketing Executive,45851,18340,9170,73361,5502,5502,0,7336,60523,paid
2024-01,EMP006,Engineering,Senior Engineer,92001,36800,18400,147201,11040,11040,0,14720,121441,paid
2024-01,EMP007,Sales,BDM,61028,24411,12205,97644,7323,7323,0,9764,80557,paid
2024-01,EMP008,HR,HR Manager,44035,17614,8807,70456,5284,5284,0,7045,58127,pending
2024-01,EMP009,Operations,Ops Manager,62779,25111,12555,100445,7533,7533,0,10044,82868,paid
2024-01,EMP010,HR,HR Manager,46997,18798,9399,75194,5639,5639,0,7519,62036,paid
2024-01,EMP011,Marketing,Marketing Executive,62385,24954,12477,99816,7486,7486,0,9981,82349,paid
2024-01,EMP012,Finance,Accountant,79993,31997,15998,127988,9599,9599,0,12798,105591,paid
2024-01,EMP013,Marketing,Brand Manager,59579,23831,11915,95325,7149,7149,0,9532,78644,paid
2024-01,EMP014,Marketing,SEO Analyst,75745,30298,15149,121192,9089,9089,0,12119,99984,paid
2024-01,EMP015,Engineering,Senior Engineer,146284,58513,29256,234053,17554,17554,0,23405,193094,paid
2024-01,EMP016,Operations,Ops Manager,45437,18174,9087,72698,5452,5452,0,7269,59977,paid
2024-01,EMP017,Finance,Accountant,92444,36977,18488,147909,11093,11093,0,14790,122026,paid
2024-01,EMP018,Finance,Finance Analyst,71987,28794,14397,115178,8638,8638,0,11517,95023,paid
2024-01,EMP019,HR,Recruiter,52496,20998,10499,83993,6299,6299,0,8399,69295,paid
2024-01,EMP020,Sales,BDM,40577,16230,8115,64922,4869,4869,0,6492,53561,paid
2024-02,EMP001,Marketing,Marketing Executive,70618,28247,14123,112988,8474,8474,0,11298,93216,paid
2024-02,EMP002,Finance,Accountant,103938,41575,20787,166300,12472,12472,0,16630,137198,paid
2024-02,EMP003,Marketing,Marketing Executive,89925,35970,17985,143880,10791,10791,0,14388,118701,pending
2024-02,EMP004,Engineering,Software Engineer,70592,28236,14118,112946,8471,8471,0,11294,93181,paid
2024-02,EMP005,Marketing,Marketing Executive,45851,18340,9170,73361,5502,5502,0,7336,60523,paid
2024-02,EMP006,Engineering,Senior Engineer,92001,36800,18400,147201,11040,11040,0,14720,121441,paid
2024-02,EMP007,Sales,BDM,61028,24411,12205,97644,7323,7323,0,9764,80557,paid
2024-02,EMP008,HR,HR Manager,44035,17614,8807,70456,5284,5284,0,7045,58127,paid
2024-02,EMP009,Operations,Ops Manager,62779,25111,12555,100445,7533,7533,0,10044,82868,paid
2024-02,EMP010,HR,HR Manager,46997,18798,9399,75194,5639,5639,0,7519,62036,paid
2024-02,EMP011,Marketing,Marketing Executive,62385,24954,12477,99816,7486,7486,0,9981,82349,pending
2024-02,EMP012,Finance,Accountant,79993,31997,15998,127988,9599,9599,0,12798,105591,paid
2024-02,EMP013,Marketing,Brand Manager,59579,23831,11915,95325,7149,7149,0,9532,78644,paid
2024-02,EMP014,Marketing,SEO Analyst,75745,30298,15149,121192,9089,9089,0,12119,99984,paid
2024-02,EMP015,Engineering,Senior Engineer,146284,58513,29256,234053,17554,17554,0,23405,193094,paid
2024-02,EMP016,Operations,Ops Manager,45437,18174,9087,72698,5452,5452,0,7269,59977,paid
2024-02,EMP017,Finance,Accountant,92444,36977,18488,147909,11093,11093,0,14790,122026,paid
2024-02,EMP018,Finance,Finance Analyst,71987,28794,14397,115178,8638,8638,0,11517,95023,paid
2024-02,EMP019,HR,Recruiter,52496,20998,10499,83993,6299,6299,0,8399,69295,paid
2024-02,EMP020,Sales,BDM,40577,16230,8115,64922,4869,4869,0,6492,53561,paid
2024-03,EMP001,Marketing,Marketing Executive,70618,28247,14123,112988,8474,8474,0,11298,93216,paid
2024-03,EMP002,Finance,Accountant,103938,41575,20787,166300,12472,12472,0,16630,137198,paid
2024-03,EMP003,Marketing,Marketing Executive,89925,35970,17985,143880,10791,10791,0,14388,118701,paid
2024-03,EMP004,Engineering,Software Engineer,70592,28236,14118,112946,8471,8471,0,11294,93181,paid
2024-03,EMP005,Marketing,Marketing Executive,45851,18340,9170,73361,5502,5502,0,7336,60523,paid
2024-03,EMP006,Engineering,Senior Engineer,92001,36800,18400,147201,11040,11040,0,14720,121441,paid
2024-03,EMP007,Sales,BDM,61028,24411,12205,97644,7323,7323,0,9764,80557,paid
2024-03,EMP008,HR,HR Manager,44035,17614,8807,70456,5284,5284,0,7045,58127,paid
2024-03,EMP009,Operations,Ops Manager,62779,25111,12555,100445,7533,7533,0,10044,82868,paid
2024-03,EMP010,HR,HR Manager,46997,18798,9399,75194,5639,5639,0,7519,62036,paid
2024-03,EMP011,Marketing,Marketing Executive,62385,24954,12477,99816,7486,7486,0,9981,82349,paid
2024-03,EMP012,Finance,Accountant,79993,31997,15998,127988,9599,9599,0,12798,105591,paid
2024-03,EMP013,Marketing,Brand Manager,59579,23831,11915,95325,7149,7149,0,9532,78644,paid
2024-03,EMP014,Marketing,SEO Analyst,75745,30298,15149,121192,9089,9089,0,12119,99984,paid
2024-03,EMP015,Engineering,Senior Engineer,146284,58513,29256,234053,17554,17554,0,23405,193094,paid
