txn_id,date,category,type,amount
T0000,2024-01-01,Others,credit,372921
T0001,2024-01-02,Operations,debit,18368
T0002,2024-01-03,Tax,credit,147400
T0003,2024-01-04,Others,debit,189014
T0004,2024-01-05,Marketing,credit,92751
T0005,2024-01-06,Tax,debit,231203
T0006,2024-01-07,Tax,debit,290450
T0007,2024-01-08,Others,debit,479667
T0008,2024-01-09,Rent,credit,171987
T0009,2024-01-10,Marketing,debit,300363
T0010,2024-01-11,Others,debit,212951
T0011,2024-01-12,Marketing,credit,196716
T0012,2024-01-13,Marketing,credit,61279
T0013,2024-01-14,Tax,debit,316172
T0014,2024-01-15,Operations,debit,367407
T0015,2024-01-16,Marketing,credit,1126
T0016,2024-01-17,Utilities,credit,315473
T0017,2024-01-18,Tax,debit,28632
T0018,2024-01-19,Rent,debit,3986249
T0019,2024-01-20,Operations,credit,110945
T0020,2024-01-21,Utilities,credit,318320
T0021,2024-01-22,Utilities,credit,251869
T0022,2024-01-23,Rent,debit,218138
T0023,2024-01-24,Operations,debit,499716
T0024,2024-01-25,Tax,credit,176399
T0025,2024-01-26,Salary,debit,463120
T0026,2024-01-27,Operations,debit,135869
T0027,2024-01-28,Rent,credit,179954
T0028,2024-01-29,Utilities,credit,145790
T0029,2024-01-30,Tax,credit,35560
T0030,2024-01-31,Operations,debit,339733
T0031,2024-02-01,Salary,debit,285260
T0032,2024-02-02,Salary,debit,430460
T0033,2024-02-03,Marketing,debit,495937
T0034,2024-02-04,Marketing,debit,133717
T0035,2024-02-05,Others,debit,179595
T0036,2024-02-06,Rent,credit,125085
T0037,2024-02-07,Operations,debit,380862
T0038,2024-02-08,Operations,credit,282400
T0039,2024-02-09,Others,credit,495592
T0040,2024-02-10,Utilities,credit,101158
T0041,2024-02-11,Utilities,credit,185245
T0042,2024-02-12,Others,credit,2241835
T0043,2024-02-13,Utilities,credit,433498
T0044,2024-02-14,Marketing,debit,382863
T0045,2024-02-15,Operations,credit,457590
T0046,2024-02-16,Others,credit,331388
T0047,2024-02-17,Operations,debit,143766
T0048,2024-02-18,Salary,debit,319408
T0049,2024-02-19,Marketing,credit,469276
T0050,2024-02-20,Tax,debit,491632
T0051,2024-02-21,Marketing,debit,58545
T0052,2024-02-22,Others,credit,302368
T0053,2024-02-23,Tax,debit,496732
T0054,2024-02-24,Salary,debit,361089
T0055,2024-02-25,Others,credit,14224
T0056,2024-02-26,Rent,credit,41738
T0057,2024-02-27,Operations,debit,419366
T0058,2024-02-28,Salary,debit,326875
T0059,2024-02-29,Operations,debit,181760
T0060,2024-03-01,Utilities,debit,494145
T0061,2024-03-02,Rent,debit,240690
T0062,2024-03-03,Rent,debit,467725
T0063,2024-03-04,Salary,debit,140649
T0064,2024-03-05,Rent,debit,3129885
T0065,2024-03-06,Tax,debit,127161
T0066,2024-03-07,Rent,debit,9666
T0067,2024-03-08,Operations,debit,320905
T0068,2024-03-09,Operations,debit,3942190
T0069,2024-03-10,Others,credit,138855
T0070,2024-03-11,Operations,debit,42914
T0071,2024-03-12,Others,debit,202579
T0072,2024-03-13,Operations,debit,128738
T0073,2024-03-14,Tax,debit,473242
T0074,2024-03-15,Others,debit,247965
T0075,2024-03-16,Marketing,credit,330670
T0076,2024-03-17,Utilities,credit,465051
T0077,2024-03-18,Salary,credit,439981
T0078,2024-03-19,Operations,credit,283100
T0079,2024-03-20,Rent,credit,219967
T0080,2024-03-21,Operations,debit,309384
