month,revenue,total_expense,profit,profit_margin_pct,operations_expense,marketing_expense,finance_expense,others_expense,cash_flow,accounts_receivable,accounts_payable
2024-01,6939978,4445348,2494630,35.95,2000406,889069,889069,666802,2545219,1133403,429335
2024-02,7309058,4698188,2610870,35.72,2114184,939637,939637,704728,2337667,1426292,632548
2024-03,7592494,4893994,2698500,35.54,2202297,978798,978798,734099,2648013,1216022,485662
2024-04,7475379,5114968,2360411,31.58,2301735,1022993,1022993,767245,2424759,1359912,703732
2024-05,8111828,5379220,2732608,33.69,2420649,1075844,1075844,806883,2395729,1528435,589894
2024-06,8095899,5221082,2874817,35.51,2349486,1044216,1044216,783162,2851324,994240,661659
2024-07,8318517,5563646,2754871,33.12,2503640,1112729,1112729,834546,2518339,1008241,482298
2024-08,8700866,5893027,2807839,32.27,2651862,1178605,1178605,883954,3062599,1401692,728791
2024-09,8920097,5725006,3195091,35.82,2576252,1145001,1145001,858750,3102070,1258651,639046
2024-10,8998557,5876812,3121745,34.69,2644565,1175362,1175362,881521,3282509,1655609,711462
2024-11,9037084,5691111,3345973,37.02,2560999,1138222,1138222,853666,3304337,1717066,522222
2024-12,9291187,5895183,3396004,36.55,2652832,1179036,1179036,884277,2923460,1257489,775695
